Product Code,Description,Manufacturer_SKU,Unit Qty,Weight per piece,product_line,category,color
FTFE26RT386BS,"38""x6' Fortress FE26 Rail Traditional Black Sand",53138708,50,24.10065,FE26,Infill,BKSND
FTFE26RT386GB,"38""x6' Fortress FE26 Rail Traditional Gloss Black",900170,50,24.10065,FE26,Infill,GBLK
FTFE26RT388ABZ,"38""x8' Fortress Fe26 Rail Traditional Antique Bronze",640009-ABZ,50,29.0178,FE26,Infill,ABZ
FTFE26RT388BS,"38""x8' Fortress FE26 Rail Traditional Black Sand",53138948,50,29.0178,FE26,Infill,BKSND
FTFE26RT388GB,"38""x8' Fortress FE26 Rail Traditional Gloss Black",640009,50,29.0178,FE26,Infill,GBLK
FTFE26RT406BS,"40""x6' Fortress FE26 Rail Traditional Black Sand",53140708,50,25.3575,FE26,Infill,BKSND
FTFE26RT408BS,"40""x8' Fortress FE26 Rail Traditional Black Sand",53140948,50,30.53925,FE26,Infill,BKSND
FTFE26RTA328ABZ,"32""x8' Fortress Fe26 Rail Traditional ADJ Antique Bronze",650401-ABZ,50,29.7675,FE26,Infill,ABZ
FTFE26RTA328BS,"32""x8' Fortress FE26 Rail Traditional ADJ Black Sand",53232948,50,29.7675,FE26,Infill,BKSND
FTFE26RTA328GB,"32""x8' Fortress FE26 Rail Traditional ADJ Gloss Black",650401,50,29.7675,FE26,Infill,GBLK
FTFE26RTA346BS,"34""x6' Fortress FE26 Rail Traditional ADJ Black Sand",53234698,50,22.491,FE26,Infill,BKSND
FTFE26RTA348BS,"34""x8' Fortress FE26 Rail Traditional ADJ Black Sand",53234948,50,31.6197,FE26,Infill,BKSND
FTFE26RTA388ABZ,"38""x8' Fortress Fe26 Rail Traditional ADJ Antique Bronze",900251-ABZ,50,35.3241,FE26,Infill,ABZ
FTFE26RTA388BS,"38""x8' Fortress FE26 Rail Traditional ADJ Black Sand",53238948,50,35.3241,FE26,Infill,BKSND
FTFE26RTA388GB,"38""x8' Fortress FE26 Rail Traditional ADJ Gloss Black",900251,50,29.23,FE26,Infill,GBLK
FTFE26RTA406BS,"40""x6' Fortress FE26 Rail Traditional ADJ Black Sand",53240698,50,26.68,FE26,Infill,BKSND
FTFE26SHBABZ,Fortress Fe26 Square Handrail BRKT Antique Bronze,53500536,100,0.4851,FE26,Fittings,ABZ
FTFE26SHBBS,Fortress Fe26 Square Handrail BRKT Black Sand,53500538,100,0.4851,FE26,Fittings,BKSND
FTFE26SHBGB,Fortress Fe26 Square Handrail BRKT Gloss Black,650055,100,0.26,FE26,Fittings,
FTFE26SHRABZ,93.5 Fortress Fe26 Square Handrail Antique Bronze,53500936,2,9.261,FE26,Rail,ABZ
FTFE26SHRBS,"93.5"" Fortress Fe26 Square Handrail Black Sand",53500938,2,9.261,FE26,Rail,BKSND
FTFE26SHRGB,93.5 Fortress Fe26 Square Handrail Gloss Black,650445,2,9.261,FE26,Rail,GBLK
FTFE26SRABZ,Fortress Fe26 Square Return Antique Bronze,53500836,2,3.44,FE26,Fittings,ABZ
FTFE26SRBS,Fortress Fe26 Square Return Black Sand,53500838,2,2.205,FE26,Fittings,BKSND
FTFE26SRGB,Fortress Fe26 Square Return Gloss Black,650446,2,2.205,FE26,Fittings,
FTFE26SRP2ABZ,"1.25"" Fortress Fe26 Square Rake Plug Antique Bronze",53500736,10,0.561,FE26,Hardware,ABZ
FTFE26SRP2BS,"1.25"" Fortress Fe26 Square Rake Plug Black Sand",53500738,10,0.55125,FE26,Hardware,BKSND
FTFE26SRP2GB,"1.25"" Fortress Fe26 Square Rake Plug Gloss Black",650442,10,0.53,FE26,Hardware,
FTFE26SRPABZ,"1"" Fortress Fe26 Square Rake Plug Antique Bronze",53500636,10,0.44,FE26,Hardware,ABZ
FTFE26SRPBS,"1"" Fortress Fe26 Square Rake Plug Black Sand",53500638,10,0.44,FE26,Hardware,BKSND
FTFE26SRPGB,"1"" Fortress Fe26 Square Rake Plug Gloss Black",650440,10,0.37,FE26,Hardware,
FTFE26VSCR346BS,"34""x6' Fortress V-Series Rail CR-Vertical Black Sand",57134608,30,40.3956,Cable Rail,Infill,BKSND
FTFE26VSCR348BS,"34""x8' Fortress V-Series Rail CR-Vertical Black Sand",57134808,30,45.0261,Cable Rail,Infill,BKSND
FTFE26VSCR406BS,"40""x6' Fortress V-Series Rail CR-Vertical Black Sand",57140608,30,42.71085,Cable Rail,Infill,BKSND
FTFE26VSCR408BS,"40""x8' Fortress V-Series Rail CR-Vertical Black Sand",57140808,30,51.97185,Cable Rail,Infill,BKSND
FTFE26VSCR40GBS,"40""x34.5"" Fortress V-Series Gate CR-Vertical Black Sand",57540888,1,40.8807,Cable Rail,Gate,
FTFE26VSCRISBS,Fortress V-Series CR-Vertical I-Support Black Sand,57504148,25,0.59535,Cable Rail,Fittings,BKSND
FTFE26VSCRISSBS,Fortress V-Series CR-Vertical I-Support Stair Black Sand,57505148,25,1.83015,Cable Rail,Fittings,BKSND
FTFE26VSCRS348BS,"34""x8' Fortress V-Series CR-Vertical Stair Black Sand",57234808,30,49.6713,Cable Rail,Infill,BKSND
FTFMBIC2ABZ,"2"" Fortress FM Inside Corner BRKT Antique Bronze",53502026,5,2.53,Fascia Mount,Fittings,ABZ
FTFMBIC2BS,"2"" Fortress FM Inside Corner BRKT Black Sand",53502028,5,3.24135,Fascia Mount,Fittings,BKSND
FTFMBIC2GB  ,"2"" Fortress FM Inside Corner BRKT Gloss Black",53502020,5,2.53,Fascia Mount,Fittings,GBLK
FTFMBIC3ABZ,"3"" Fortress FM Inside Corner BRKT Antique Bronze",53503026,5,4.95,Fascia Mount,Fittings,ABZ
FTFMBIC3BS,"3"" Fortress FM Inside Corner BRKT Black Sand",53503028,5,7.4088,Fascia Mount,Fittings,BKSND
FTFMBIC3GB  ,"3"" Fortress FM Inside Corner BRKT Gloss Black",53503020,5,4.95,Fascia Mount,Fittings,GBLK
FTFMBIC3WHT,"3"" Fortress FM Inside Corner BRKT White",53503021,5,4.95,Fascia Mount,Fittings,WHT
FTFMBOC2UABZ,"2"" Fortress FM Universal Outside Corner BRKT Antique Bronze",50502016,5,6.94575,Fascia Mount,Fittings,ABZ
FTFMBOC2UBS,"2"" Fortress FM Universal Outside Corner BRKT Black Sand",50502018,5,6.94575,Fascia Mount,Fittings,BKSND
FTFMBOC2UGB,"2"" Fortress FM Universal Outside Corner BRKT Gloss Black",50502010,5,6.94575,Fascia Mount,Fittings,GBLK
FTFMBOC3UABZ,"3"" Fortress FM Universal Outside Corner BRKT Antique Bronze",50503016,5,7.4088,Fascia Mount,Fittings,ABZ
FTFMBOC3UBS,"3"" Fortress FM Universal Outside Corner BRKT Black Sand",50503018,5,7.4088,Fascia Mount,Fittings,BKSND
